Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z,u_FWHM,J0378_FWHM,J0395_FWHM,J0410_FWHM,J0430_FWHM,g_FWHM,J0515_FWHM,r_FWHM,J0660_FWHM,i_FWHM,J0861_FWHM,z_FWHM,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
SPLUS-n15s01,150.0,-18.9,20.83,20.033,20.035,21.057,21.178,23.516,21.445,23.52,21.034,23.305,21.573,22.732,2.12,1.873,1.687,2.019,1.6,1.543,1.496,1.553,1.41,1.441,1.262,1.199,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0,58548.0
SPLUS-n15s02,151.43,-18.9,20.837,20.014,20.022,21.042,21.152,23.502,21.459,23.531,21.051,23.321,21.587,22.727,2.181,1.887,1.719,1.747,1.513,1.483,1.869,1.576,1.398,1.293,1.031,1.227,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0
SPLUS-n15s03,152.86,-18.9,20.694,19.94,19.939,20.91,21.012,23.393,21.339,23.471,21.005,23.301,21.569,22.739,1.943,1.74,1.529,1.473,1.438,1.421,1.397,1.378,1.439,1.168,1.096,1.099,58842.0,58842.0,58842.0,58842.0,58842.0,58842.0,58842.0,58842.0,58842.0,58842.0,58842.0,58842.0
SPLUS-n15s04,154.29,-18.9,20.862,20.032,20.03,21.046,21.181,23.533,21.473,23.512,21.061,23.333,21.601,22.755,1.82,1.609,1.528,1.499,1.402,1.353,1.367,1.262,1.391,1.217,1.207,1.055,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0
SPLUS-n15s05,155.71,-18.9,20.871,20.01,20.03,21.036,21.148,23.508,21.432,23.535,21.055,23.32,21.594,22.756,1.847,1.604,1.674,1.595,1.641,1.735,1.646,1.616,1.449,1.571,1.411,1.496,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0
SPLUS-n15s06,157.14,-18.9,20.849,19.992,19.999,21.014,21.131,23.512,21.444,23.536,21.044,23.327,21.597,22.757,1.819,1.874,1.979,1.947,1.968,1.913,1.766,1.673,1.528,1.622,1.714,1.806,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0
SPLUS-n15s07,158.57,-18.9,20.868,19.994,20.036,21.022,21.14,23.521,21.455,23.544,21.049,23.345,21.606,22.8,1.549,1.631,1.637,1.715,1.795,1.615,1.478,1.556,1.281,1.291,1.093,1.193,58612.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0,58613.0
SPLUS-n15s08,160.0,-18.9,20.775,19.966,19.975,20.956,21.059,23.473,21.432,23.518,21.036,23.321,21.61,22.756,2.926,2.87,2.608,2.618,2.621,2.622,2.685,2.67,2.907,2.439,2.465,2.309,58656.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0,58657.0
SPLUS-n15s09,161.43,-18.9,20.783,19.97,19.97,20.966,21.094,23.467,21.416,23.52,21.033,23.337,21.614,22.785,1.565,1.373,1.335,1.319,1.355,1.395,1.305,1.215,1.263,1.191,1.191,1.289,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0
SPLUS-n15s10,162.86,-18.9,20.78,19.969,19.966,20.981,21.083,23.412,21.41,23.403,21.01,23.346,21.608,22.81,1.477,1.413,1.341,1.325,1.303,1.451,1.282,1.334,1.4,1.194,1.355,1.21,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0
SPLUS-n15s11,164.29,-18.9,20.779,19.912,19.925,20.939,21.064,23.439,21.381,23.437,20.957,23.267,21.472,22.737,1.948,1.607,1.409,1.449,1.652,1.583,1.496,1.526,1.695,1.32,1.347,1.245,58639.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0,58640.0
SPLUS-n15s12,165.71,-18.9,20.86,20.042,20.036,21.045,21.181,23.53,21.481,23.547,21.058,23.343,21.63,22.809,1.272,1.235,1.244,1.221,1.177,1.296,1.16,1.579,2.086,1.65,1.51,2.146,58626.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0,58627.0
SPLUS-n15s13,167.14,-18.9,20.803,19.975,19.976,20.984,21.119,23.478,21.415,23.525,21.034,23.333,21.601,22.745,2.241,2.106,2.088,2.13,2.346,2.687,2.703,2.309,1.792,2.378,1.611,2.247,58614.0,58614.0,58614.0,58614.0,58614.0,58614.0,58614.0,58614.0,58614.0,58614.0,58614.0,58614.0
SPLUS-n15s14,168.57,-18.9,20.836,19.993,19.981,21.028,21.162,23.53,21.474,23.556,21.081,23.333,21.633,22.729,2.005,1.822,1.681,1.75,1.827,1.675,1.647,1.71,1.835,1.534,1.461,1.361,58657.0,58658.0,58658.0,58658.0,58658.0,58658.0,58658.0,58658.0,58658.0,58658.0,58658.0,58658.0
SPLUS-n15s15,170.0,-18.9,20.828,20.024,20.033,21.032,21.163,23.521,21.473,23.562,21.074,23.373,21.634,22.837,1.686,1.692,1.754,1.927,1.881,1.714,1.882,1.795,2.005,1.566,1.646,1.379,58626.0,58626.0,58626.0,58626.0,58626.0,58626.0,58626.0,58626.0,58626.0,58626.0,58626.0,58626.0
SPLUS-n15s16,171.43,-18.9,20.805,19.991,20.005,20.984,21.099,23.449,21.401,23.513,21.041,23.337,21.606,22.809,1.596,1.636,1.755,1.785,1.685,1.8,1.614,1.691,1.491,1.725,1.204,1.695,58635.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0
SPLUS-n15s17,172.86,-18.9,20.863,20.037,20.021,21.037,21.164,23.519,21.464,23.537,21.054,23.339,21.614,22.775,1.61,1.467,1.432,1.425,1.381,1.323,1.302,1.222,1.456,1.154,1.272,1.186,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0
SPLUS-n15s18,174.29,-18.9,20.869,20.04,20.031,21.05,21.163,23.495,21.451,23.512,20.985,23.309,21.447,22.742,1.503,1.387,1.303,1.335,1.41,1.37,1.345,1.305,1.269,1.188,1.107,1.209,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0,58605.0
SPLUS-n15s19,175.71,-18.9,20.859,20.038,20.039,21.049,21.184,23.538,21.482,23.545,21.062,23.341,21.61,22.773,1.438,1.39,1.48,1.386,1.367,1.287,1.353,1.351,1.254,1.17,1.077,1.117,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0,58606.0
SPLUS-n15s20,177.14,-18.9,20.858,20.029,20.044,21.05,21.172,23.518,21.463,23.534,21.029,23.337,21.582,22.757,1.461,1.472,1.393,1.378,1.311,1.267,1.233,1.174,1.226,1.118,1.275,1.066,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0,58608.0
SPLUS-n15s21,178.57,-18.9,20.829,19.981,20.001,21.009,21.124,23.498,21.441,23.525,21.038,23.33,21.616,22.773,1.873,1.827,1.879,1.882,1.903,1.846,1.755,1.627,1.549,1.624,1.433,1.668,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0
SPLUS-n15s22,180.0,-18.9,20.824,20.026,20.043,21.041,21.164,23.503,21.44,23.514,21.031,23.313,21.584,22.725,1.261,1.283,1.32,1.272,1.214,1.245,1.193,1.298,1.358,1.201,1.071,1.182,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0
SPLUS-n15s31,192.86,-18.9,20.623,19.851,19.855,20.855,20.975,23.363,21.318,23.432,20.971,23.262,21.55,22.68,2.257,2.139,1.762,1.752,1.707,1.609,1.648,1.555,1.568,1.266,1.121,1.182,58903.0,58903.0,58903.0,58903.0,58903.0,58903.0,58903.0,58903.0,58903.0,58903.0,58903.0,58903.0
SPLUS-n15s32,194.29,-18.9,20.668,19.899,19.898,20.887,21.0,23.391,21.336,23.449,20.985,23.28,21.56,22.718,2.804,2.538,2.388,2.365,2.276,2.215,2.32,2.359,2.379,2.061,1.731,1.885,58900.0,58900.0,58900.0,58900.0,58900.0,58900.0,58900.0,58900.0,58900.0,58900.0,58900.0,58900.0
SPLUS-n15s33,195.71,-18.9,20.719,19.91,19.886,20.892,20.998,23.378,21.323,23.44,20.971,23.261,21.546,22.677,1.962,1.834,1.694,1.807,1.513,1.464,1.49,1.484,1.597,1.279,1.257,1.123,58902.0,58902.0,58902.0,58902.0,58902.0,58902.0,58902.0,58902.0,58902.0,58902.0,58902.0,58902.0
SPLUS-n16s01,151.2,-20.24,20.861,20.006,19.989,21.029,21.151,23.521,21.462,23.532,21.05,23.333,21.595,22.761,1.582,1.696,1.567,1.489,1.478,1.631,1.458,1.709,1.65,1.652,1.285,1.792,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0,58604.0
SPLUS-n16s02,152.64,-20.24,20.791,20.04,20.058,21.05,21.182,23.544,21.465,23.549,21.077,23.336,21.614,22.756,2.319,1.975,2.471,2.397,2.137,2.538,2.466,2.046,1.968,1.726,1.542,1.653,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0
SPLUS-n16s03,154.08,-20.24,20.845,20.017,20.034,21.037,21.161,23.509,21.441,23.53,21.043,23.329,21.59,22.753,1.729,1.782,1.694,1.603,1.506,1.779,1.588,1.578,1.623,1.587,1.788,1.585,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0
SPLUS-n16s04,155.52,-20.24,20.829,20.019,20.006,21.048,21.158,23.495,21.446,23.552,21.08,23.352,21.617,22.805,1.66,1.482,1.405,1.384,1.41,1.53,1.409,1.361,1.506,1.386,1.095,1.377,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0
SPLUS-n16s05,156.96,-20.24,20.865,20.053,20.042,21.059,21.186,23.52,21.453,23.525,21.044,23.313,21.588,22.73,1.73,1.556,1.501,1.382,1.352,1.368,1.382,1.399,1.463,1.14,1.143,1.086,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0,58567.0
SPLUS-n16s06,158.4,-20.24,20.828,20.015,20.033,21.043,21.164,23.516,21.453,23.523,21.038,23.318,21.587,22.745,1.894,1.73,1.745,1.51,1.525,1.516,1.422,1.37,1.312,1.211,1.12,1.1,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0,58582.0
SPLUS-n16s07,159.84,-20.24,20.84,20.034,20.052,21.073,21.177,23.537,21.482,23.562,21.076,23.356,21.623,22.789,1.475,1.315,1.276,1.442,1.326,1.282,1.399,1.251,1.362,1.197,1.434,1.239,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0
SPLUS-n16s08,161.28,-20.24,20.76,19.932,19.941,20.944,21.048,23.423,21.355,23.487,21.016,23.303,21.583,22.726,1.818,1.887,1.873,2.161,2.048,2.17,2.046,1.835,1.612,1.71,1.749,1.771,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0
SPLUS-n16s09,162.72,-20.24,20.834,20.031,20.055,21.038,21.155,23.53,21.462,23.553,21.079,23.348,21.62,22.779,1.566,1.688,1.663,1.316,1.452,1.481,1.344,1.44,1.834,1.337,1.534,1.457,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0
SPLUS-n16s10,164.16,-20.24,20.862,20.036,20.041,21.05,21.174,23.531,21.468,23.558,21.066,23.358,21.643,22.797,1.938,1.935,1.92,1.915,2.002,1.746,1.69,1.481,1.367,1.404,1.842,1.407,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0,58583.0
SPLUS-n16s11,165.6,-20.24,20.869,20.048,20.045,21.064,21.188,23.533,21.477,23.552,21.084,23.361,21.625,22.807,1.467,1.394,1.367,1.337,1.352,1.361,1.252,1.298,1.603,1.258,1.557,1.412,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0,58584.0
SPLUS-n16s12,167.04,-20.24,20.827,20.03,20.013,21.034,21.147,23.508,21.444,23.534,21.052,23.335,21.609,22.761,1.537,1.383,1.547,1.282,1.304,1.34,1.28,1.291,1.305,1.358,1.442,1.216,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0,58601.0
SPLUS-n16s13,168.48,-20.24,20.883,20.039,20.056,21.065,21.191,23.539,21.475,23.559,21.07,23.355,21.624,22.796,1.339,1.454,1.391,1.398,1.401,1.399,1.274,1.327,1.298,1.36,1.473,1.489,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0,58585.0
SPLUS-n16s14,169.92,-20.24,20.784,20.024,20.032,21.039,21.165,23.533,21.473,23.553,21.071,23.372,21.641,22.803,2.04,2.348,2.242,2.361,2.093,2.021,2.246,1.946,2.151,2.037,1.608,1.955,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0
SPLUS-n16s15,171.36,-20.24,20.833,20.061,20.059,21.038,21.171,23.531,21.464,23.549,21.075,23.341,21.612,22.78,1.874,1.67,1.39,1.354,1.412,1.196,1.176,1.218,1.445,1.108,1.015,0.999,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0
SPLUS-n16s16,172.8,-20.24,20.764,19.957,19.958,20.954,21.091,23.479,21.424,23.514,21.025,23.317,21.599,22.743,1.75,1.666,1.822,1.929,1.853,2.015,1.779,1.821,1.888,1.483,1.53,1.333,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0
SPLUS-n16s17,174.24,-20.24,20.829,20.043,20.056,21.037,21.155,23.506,21.461,23.552,21.063,23.356,21.621,22.802,1.722,1.815,1.977,1.876,1.75,1.8,1.67,1.562,1.436,1.637,1.839,1.754,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0
SPLUS-n16s18,175.68,-20.24,20.858,20.037,20.043,21.034,21.162,23.525,21.459,23.556,21.067,23.35,21.626,22.79,2.333,1.855,1.743,1.546,1.53,1.667,1.36,1.434,1.553,1.38,1.72,1.494,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0,58587.0
SPLUS-n16s19,177.12,-20.24,20.75,19.961,19.951,20.94,21.053,23.413,21.356,23.484,21.011,23.302,21.588,22.726,1.643,1.606,1.452,1.395,1.407,1.442,1.362,1.376,1.229,1.351,1.188,1.406,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0,58600.0
SPLUS-n16s20,178.56,-20.24,20.857,20.046,20.049,21.048,21.169,23.526,21.468,23.539,21.058,23.34,21.612,22.777,1.536,1.485,1.306,1.261,1.31,1.199,1.197,1.219,1.193,1.128,0.985,1.113,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0,58602.0
SPLUS-n16s21,180.0,-20.24,20.832,20.03,20.058,21.124,21.281,23.609,21.542,23.552,21.096,23.357,21.638,22.785,1.177,1.191,1.172,1.131,1.13,1.118,1.074,1.041,1.081,0.999,1.046,0.994,58254.0,58254.0,58254.0,58254.0,58254.0,58254.0,58254.0,58254.0,58254.0,58254.0,58254.0,58254.0
SPLUS-n17s01,150.97,-21.58,20.698,19.938,19.978,20.979,21.104,23.464,21.407,23.495,21.025,23.268,21.57,22.64,2.652,2.391,2.75,2.621,2.402,2.303,2.407,2.318,2.289,1.923,1.643,1.649,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0
SPLUS-n17s02,152.42,-21.58,20.62,19.815,19.808,20.796,20.89,23.251,21.178,23.375,20.918,23.214,21.524,22.605,1.765,1.594,1.498,1.492,1.5,1.527,1.498,1.567,1.428,1.384,1.156,1.345,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0
SPLUS-n17s03,153.87,-21.58,20.476,19.669,19.66,20.674,20.772,23.118,21.061,23.265,20.817,23.15,21.467,22.573,1.617,1.323,1.352,1.846,1.414,1.455,1.322,1.339,1.486,1.346,1.521,1.456,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0
SPLUS-n17s04,155.32,-21.58,20.867,20.037,20.022,21.013,21.114,23.465,21.404,23.51,21.038,23.328,21.589,22.737,2.593,1.802,1.557,1.584,1.799,2.317,2.123,2.734,2.368,2.58,1.748,2.833,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0
SPLUS-n17s05,156.78,-21.58,20.809,20.014,20.038,21.032,21.151,23.526,21.449,23.527,21.074,23.305,21.577,22.712,2.004,1.878,1.821,1.815,1.663,1.804,1.632,1.613,1.399,1.427,1.099,1.202,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0
SPLUS-n17s06,158.23,-21.58,20.802,20.021,20.041,21.024,21.139,23.475,21.405,23.497,21.039,23.29,21.562,22.69,1.454,1.309,1.31,1.354,1.286,1.322,1.228,1.254,1.85,1.144,1.107,1.174,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0
SPLUS-n17s07,159.68,-21.58,20.785,20.0,20.014,21.027,21.155,23.502,21.432,23.536,21.049,23.288,21.566,22.687,1.613,1.352,1.218,1.208,1.181,1.212,1.178,1.841,1.715,1.119,1.029,1.083,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0
SPLUS-n17s08,161.13,-21.58,20.739,19.946,19.967,20.956,21.091,23.442,21.394,23.469,20.988,23.259,21.543,22.649,1.337,1.262,1.232,1.211,1.186,1.195,1.155,1.182,1.411,1.077,1.237,1.027,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0
SPLUS-n17s09,162.58,-21.58,20.879,20.029,20.038,21.025,21.142,23.469,21.398,23.497,21.019,23.291,21.562,22.701,1.789,1.453,1.46,1.338,1.307,1.37,1.3,1.373,1.357,1.42,1.366,1.563,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0
SPLUS-n17s10,164.03,-21.58,20.805,20.021,20.016,21.007,21.129,23.473,21.412,23.505,21.023,23.3,21.574,22.715,1.516,1.464,1.473,1.466,1.443,1.4,1.38,1.377,1.343,1.185,1.164,1.268,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0
SPLUS-n17s11,165.48,-21.58,20.876,20.059,20.075,21.054,21.165,23.51,21.444,23.529,21.05,23.331,21.597,22.758,2.198,2.134,2.159,2.129,2.1,1.945,1.983,1.995,2.184,2.043,1.651,1.7,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0
SPLUS-n17s12,166.94,-21.58,20.733,19.968,19.989,21.006,21.141,23.503,21.435,23.512,21.039,23.299,21.585,22.702,1.959,1.809,1.775,1.747,1.76,1.958,1.762,1.638,1.596,1.411,1.379,1.326,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0,58575.0
SPLUS-n17s13,168.39,-21.58,20.72,19.967,19.987,20.997,21.135,23.486,21.423,23.513,21.034,23.311,21.593,22.717,1.914,1.707,1.661,1.526,1.598,1.585,1.492,1.434,1.697,1.28,1.951,1.388,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0,58574.0
SPLUS-n17s14,169.84,-21.58,20.664,19.9,19.879,20.895,21.007,23.345,21.279,23.434,20.965,23.265,21.552,22.672,1.619,1.52,1.445,1.453,1.862,1.353,1.308,1.335,1.287,1.274,1.319,1.31,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0,58579.0
SPLUS-n17s15,171.29,-21.58,20.656,19.901,19.923,20.894,20.996,23.35,21.287,23.445,20.971,23.277,21.569,22.697,1.997,1.756,1.698,1.74,1.736,1.72,1.56,1.577,1.62,1.395,1.501,1.457,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0,58578.0
SPLUS-n17s16,172.74,-21.58,20.748,19.962,19.978,20.987,21.111,23.471,21.418,23.502,21.04,23.285,21.568,22.687,1.646,1.435,1.389,1.398,1.361,1.327,1.243,1.271,1.65,1.189,1.156,1.172,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0
SPLUS-n17s17,174.19,-21.58,20.864,20.066,20.029,21.044,21.169,23.514,21.451,23.555,21.067,23.353,21.617,22.786,1.549,1.458,1.469,1.373,1.337,1.337,1.265,1.3,1.196,1.239,1.038,1.199,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0,58586.0
SPLUS-n17s18,175.65,-21.58,20.882,20.052,20.039,21.064,21.166,23.502,21.439,23.529,21.052,23.331,21.605,22.755,1.983,1.419,1.382,1.384,1.331,1.333,1.308,1.291,1.375,1.19,1.231,1.17,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0,58559.0
SPLUS-n17s19,177.1,-21.58,20.897,20.089,20.094,21.121,21.268,23.586,21.521,23.538,21.039,23.312,21.574,22.754,1.729,1.707,1.758,1.604,1.647,1.652,1.499,1.483,1.471,1.429,1.28,1.381,58222.0,58222.0,58222.0,58222.0,58222.0,58222.0,58222.0,58222.0,58222.0,58222.0,58222.0,58222.0
SPLUS-n17s20,178.55,-21.58,20.881,20.1,20.124,21.144,21.295,23.626,21.561,23.583,21.082,23.375,21.637,22.786,1.627,1.634,1.742,1.549,1.549,1.596,1.632,1.559,1.68,1.409,1.476,1.425,58217.0,58217.0,58217.0,58217.0,58217.0,58217.0,58217.0,58217.0,58217.0,58217.0,58217.0,58217.0
SPLUS-n17s21,180.0,-21.58,20.972,20.141,20.124,21.178,21.313,23.626,21.549,23.557,21.079,23.349,21.605,22.785,1.413,1.442,1.682,1.344,1.255,1.223,1.213,1.233,1.325,1.052,1.045,1.091,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0,58196.0
SPLUS-n17s51,223.55,-21.58,20.621,19.847,19.87,20.902,21.005,23.427,21.385,23.48,20.868,23.288,21.455,22.671,1.602,1.68,1.437,1.765,1.516,1.51,1.451,1.442,1.558,1.372,1.482,1.233,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0,58670.0
SPLUS-n18s01,150.73,-22.92,20.77,20.03,20.053,21.058,21.184,23.543,21.484,23.569,21.086,23.359,21.629,22.77,1.455,1.436,1.527,1.492,1.487,1.432,1.409,1.278,1.277,1.294,1.298,1.283,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0
SPLUS-n18s02,152.2,-22.92,20.685,19.929,19.977,20.986,21.129,23.481,21.42,23.513,21.054,23.304,21.594,22.7,2.305,2.019,1.914,1.873,1.821,1.787,1.742,1.742,2.013,1.585,1.801,1.467,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0
SPLUS-n18s03,153.66,-22.92,20.649,19.927,19.97,20.969,21.094,23.456,21.403,23.495,21.029,23.287,21.574,22.699,3.078,2.795,2.597,2.484,2.406,2.246,2.393,2.293,2.198,2.013,1.794,1.808,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0
SPLUS-n18s04,155.12,-22.92,20.746,19.946,19.957,20.965,21.068,23.401,21.33,23.468,21.0,23.279,21.57,22.668,1.436,1.537,1.341,1.406,1.463,1.473,1.409,1.363,1.282,1.301,1.125,1.171,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0
SPLUS-n18s05,156.58,-22.92,20.644,19.849,19.855,20.824,20.928,23.272,21.205,23.379,20.897,23.234,21.517,22.654,1.377,1.365,1.345,1.385,1.471,1.694,1.371,1.479,1.44,1.385,1.41,1.478,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0
SPLUS-n18s06,158.05,-22.92,20.906,20.1,20.097,21.15,21.293,23.63,21.558,23.576,21.109,23.367,21.634,22.785,1.755,1.633,1.488,1.482,1.405,1.368,1.406,1.402,1.682,1.23,1.199,1.109,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0
SPLUS-n18s07,159.51,-22.92,20.888,20.07,20.056,21.053,21.165,23.492,21.428,23.509,21.028,23.297,21.569,22.707,1.757,1.62,1.666,1.605,1.514,1.427,1.468,1.409,1.34,1.353,1.167,1.301,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0
SPLUS-n18s08,160.98,-22.92,20.863,20.051,20.066,21.036,21.14,23.47,21.401,23.498,21.025,23.291,21.563,22.695,1.516,1.412,1.42,1.382,1.4,1.494,1.358,1.376,1.298,1.342,1.302,1.431,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0
SPLUS-n18s09,162.44,-22.92,20.889,20.087,20.076,21.067,21.184,23.521,21.461,23.525,21.039,23.307,21.579,22.73,1.834,1.658,1.483,1.415,1.471,1.435,1.374,1.402,1.564,1.274,1.287,1.194,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0
