Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z,u_FWHM,J0378_FWHM,J0395_FWHM,J0410_FWHM,J0430_FWHM,g_FWHM,J0515_FWHM,r_FWHM,J0660_FWHM,i_FWHM,J0861_FWHM,z_FWHM,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
HYDRA-0024,155.85,-25.3,20.765,20.017,20.04,21.042,21.181,23.531,21.468,23.54,21.065,23.331,21.602,22.772,1.893,1.854,1.679,1.608,1.539,1.423,1.461,1.54,1.487,1.212,1.19,1.131,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0
HYDRA-0025,157.4,-25.3,20.887,20.078,20.048,21.078,21.193,23.519,21.447,23.553,21.076,23.35,21.617,22.777,1.57,1.894,1.857,1.829,1.931,1.955,1.818,1.758,1.582,1.781,1.637,1.949,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0
HYDRA-0026,158.96,-25.3,20.836,20.04,20.05,21.065,21.167,23.496,21.428,23.515,21.035,23.29,21.566,22.679,1.722,1.494,1.385,1.9,1.347,1.33,1.326,1.362,1.242,1.119,1.075,1.056,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0
HYDRA-0027,160.52,-25.3,20.737,19.933,19.941,20.935,21.051,23.408,21.357,23.466,20.995,23.266,21.561,22.653,1.987,1.958,2.052,2.074,2.225,2.023,1.907,1.688,1.899,1.782,2.087,1.984,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0
HYDRA-0028,162.08,-25.3,20.96,20.137,20.14,21.171,21.323,23.644,21.581,23.57,21.091,23.369,21.616,22.799,1.676,1.749,1.454,1.472,1.544,1.445,1.418,1.394,1.495,1.267,1.565,1.288,58258.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0
HYDRA-0029,163.64,-25.3,20.965,20.152,20.148,21.182,21.329,23.651,21.585,23.586,21.098,23.368,21.625,22.791,1.589,1.617,1.526,1.628,1.593,1.678,1.763,1.806,1.655,1.496,1.226,1.431,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0
HYDRA-0030,150.0,-26.69,20.972,20.181,20.191,21.218,21.356,23.671,21.59,23.596,21.107,23.359,21.616,22.784,1.778,1.645,1.495,1.468,1.416,1.285,1.318,1.226,1.268,1.118,1.114,1.064,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0
HYDRA-0031,151.58,-26.69,20.155,19.354,19.411,20.478,20.648,22.897,20.794,22.774,20.267,22.527,20.791,21.949,2.231,1.417,1.345,1.287,1.279,1.452,1.477,1.473,1.324,1.296,1.149,1.226,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0
HYDRA-0032,153.16,-26.69,20.978,20.142,20.186,21.191,21.324,23.66,21.576,23.605,21.099,23.366,21.62,22.779,1.594,1.544,1.515,1.684,1.447,1.502,1.422,1.324,1.318,1.254,1.248,1.274,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0
HYDRA-0033,154.74,-26.69,20.937,20.126,20.102,21.176,21.314,23.634,21.555,23.57,21.095,23.342,21.613,22.771,1.387,1.508,1.354,1.359,1.333,1.421,1.275,1.337,1.366,1.318,1.247,1.346,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0
HYDRA-0034,156.32,-26.69,20.959,20.162,20.178,21.186,21.312,23.634,21.553,23.596,21.099,23.372,21.633,22.783,1.497,1.459,1.494,1.398,1.37,1.31,1.32,1.307,1.35,1.189,1.218,1.119,58138.0,58138.0,58138.0,58138.0,58138.0,58138.0,58138.0,58138.0,58138.0,58138.0,58138.0,58138.0
