Field,RA,DEC,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
HYDRA-0104,152.51,-37.74,57848.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,58480.0,58480.0,57849.0,57849.0,57849.0
HYDRA-0105,154.29,-37.74,58497.0,58497.0,58497.0,58497.0,58497.0,58497.0,58497.0,58497.0,58497.0,58497.0,58497.0,58497.0
HYDRA-0106,156.06,-37.74,58529.0,58529.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0
HYDRA-0107,157.83,-37.74,58509.0,58509.0,58509.0,58509.0,58509.0,58509.0,58509.0,58509.0,58509.0,58509.0,58509.0,58509.0
HYDRA-0108,159.6,-37.74,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0
HYDRA-0109,161.38,-37.74,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0
HYDRA-0110,163.15,-37.74,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0
HYDRA-0111,164.93,-37.74,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0
HYDRA-0112,150.15,-39.11,57774.0,57774.0,57774.0,57774.0,57774.0,57774.0,57774.0,57774.0,57774.0,57774.0,57774.0,57774.0
HYDRA-0113,151.96,-39.11,58467.0,58467.0,58467.0,58467.0,58467.0,58467.0,58467.0,58467.0,58467.0,58467.0,58467.0,58467.0
HYDRA-0114,153.77,-39.11,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0
HYDRA-0115,155.58,-39.11,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0
HYDRA-0116,157.39,-39.11,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0
HYDRA-0117,159.2,-39.11,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0
HYDRA-0118,161.0,-39.11,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0
HYDRA-0119,162.81,-39.11,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0
HYDRA-0120,164.63,-39.11,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0,57790.0
HYDRA-0121,151.38,-40.48,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0
HYDRA-0122,153.23,-40.48,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0
HYDRA-0123,155.08,-40.48,58499.0,58499.0,58499.0,58499.0,58499.0,58499.0,58499.0,58499.0,58499.0,58499.0,58499.0,58499.0
HYDRA-0124,156.93,-40.48,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0
HYDRA-0125,158.77,-40.48,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0
